asset_id,screen_usage,aspect_ratio,prompt
home-interior-hero,"Home tab, Create step 0, reusable hero",4:5,"Bright contemporary living room with soft beige sectional, oak coffee table, textured rug, warm daylight through large windows, polished but livable styling, vertical mobile-card framing, premium editorial interior photography for a high-end mobile app, photorealistic, natural daylight, tasteful staging, clean composition, luxury residential design, no people, no text, no watermark, no collage, sharp focus"
home-exterior-hero,"Home tab, Create step 0, reusable hero",4:5,"Modern residential facade, clean architectural lines, white stucco and wood accents, landscaped entry path, premium curb appeal, golden-hour light, vertical mobile-card framing, premium editorial exterior photography for a high-end mobile app, photorealistic, tasteful staging, clean composition, luxury residential design, no people, no text, no watermark, no collage, sharp focus"
home-garden-hero,"Home tab, Create step 0, reusable hero",4:5,"Elegant backyard garden lounge with layered planting, stone path, outdoor seating, subtle lighting, lush but curated landscaping, vertical mobile-card framing, premium editorial landscape photography for a high-end mobile app, photorealistic, natural daylight, tasteful staging, clean composition, luxury residential design, no people, no text, no watermark, no collage, sharp focus"
onboarding-before-room,"Onboarding before/after slider, Paywall before image",4:5,"Ordinary apartment living room before redesign, slightly dated furniture, flat lighting, realistic uncluttered lived-in space, same framing reserved for after image, premium editorial interior photography for a high-end mobile app, photorealistic, natural daylight, clean composition, no people, no text, no watermark, no collage, sharp focus"
onboarding-after-room,"Onboarding after image, Paywall after image",4:5,"The same apartment living room transformed into a refined modern interior, upgraded furniture, better lighting, cohesive palette, same camera angle and framing as the before image, premium editorial interior photography for a high-end mobile app, photorealistic, natural daylight, tasteful staging, clean composition, luxury residential design, no people, no text, no watermark, no collage, sharp focus"
object-replace-scene,"Onboarding object replace demo",4:5,"Contemporary apartment lounge designed for object-replacement demo, clear sofa zone in foreground, balanced room layout, neutral surfaces, ideal for showing editable furniture swaps, premium editorial interior photography for a high-end mobile app, photorealistic, natural daylight, tasteful staging, clean composition, no people, no text, no watermark, no collage, sharp focus"
outdoor-preview-hero,"Onboarding outdoor demo",4:5,"Upscale patio and garden concept with lounge seating, planting beds, paving, and water feature potential, aspirational outdoor redesign scene, premium editorial landscape photography for a high-end mobile app, photorealistic, natural daylight, tasteful staging, clean composition, luxury residential design, no people, no text, no watermark, no collage, sharp focus"
settings-hero,"Settings header hero",4:5,"Sophisticated residential interior hero image for account settings screen, warm ambient light, premium calm atmosphere, soft focus background with luxury apartment feel, premium editorial interior photography for a high-end mobile app, photorealistic, tasteful staging, clean composition, no people, no text, no watermark, no collage, sharp focus"
style-modern,"Create style thumbnail",1:1,"Modern interior design thumbnail, crisp lines, minimal ornament, balanced neutrals, architectural furniture, square composition, premium editorial interior photography for a high-end mobile app, photorealistic, natural daylight, tasteful staging, clean composition, luxury residential design, no people, no text, no watermark, no collage, sharp focus"
style-minimalistic,"Create style thumbnail",1:1,"Minimalistic interior design thumbnail, serene empty space, restrained palette, low visual noise, square composition, premium editorial interior photography for a high-end mobile app, photorealistic, natural daylight, tasteful staging, clean composition, luxury residential design, no people, no text, no watermark, no collage, sharp focus"
style-farmhouse,"Create style thumbnail",1:1,"Farmhouse interior design thumbnail, warm wood, soft whites, rustic textures, welcoming residential styling, square composition, premium editorial interior photography for a high-end mobile app, photorealistic, natural daylight, tasteful staging, clean composition, luxury residential design, no people, no text, no watermark, no collage, sharp focus"
style-luxury,"Create style thumbnail",1:1,"Luxury interior design thumbnail, premium materials, sculptural furniture, rich textures, hotel-grade polish, square composition, premium editorial interior photography for a high-end mobile app, photorealistic, natural daylight, tasteful staging, clean composition, luxury residential design, no people, no text, no watermark, no collage, sharp focus"
style-zen,"Create style thumbnail",1:1,"Zen interior design thumbnail, natural wood, stone, soft linen, calm uncluttered atmosphere, square composition, premium editorial interior photography for a high-end mobile app, photorealistic, natural daylight, tasteful staging, clean composition, luxury residential design, no people, no text, no watermark, no collage, sharp focus"
style-mediterranean,"Create style thumbnail",1:1,"Mediterranean design thumbnail, limewashed walls, terracotta notes, arches, sunlit warmth, square composition, premium editorial interior photography for a high-end mobile app, photorealistic, natural daylight, tasteful staging, clean composition, luxury residential design, no people, no text, no watermark, no collage, sharp focus"
style-tropical,"Create style thumbnail",1:1,"Tropical design thumbnail, airy indoor-outdoor feel, lush greenery, natural woven materials, square composition, premium editorial interior photography for a high-end mobile app, photorealistic, natural daylight, tasteful staging, clean composition, luxury residential design, no people, no text, no watermark, no collage, sharp focus"
style-cottage,"Create style thumbnail",1:1,"Cottage design thumbnail, cozy layered textiles, charming details, soft daylight, square composition, premium editorial interior photography for a high-end mobile app, photorealistic, natural daylight, tasteful staging, clean composition, luxury residential design, no people, no text, no watermark, no collage, sharp focus"
style-minimalist-garden,"Create style thumbnail",1:1,"Minimalist outdoor garden design thumbnail, restrained planting, clean hardscape, modern serenity, square composition, premium editorial landscape photography for a high-end mobile app, photorealistic, natural daylight, tasteful staging, clean composition, luxury residential design, no people, no text, no watermark, no collage, sharp focus"
discover-living-room,"Discover interior section",3:4,"Designer living room inspiration scene, premium styling, balanced furniture layout, inviting daylight, vertical discover-card framing, premium editorial interior photography for a high-end mobile app, photorealistic, natural daylight, tasteful staging, clean composition, luxury residential design, no people, no text, no watermark, no collage, sharp focus"
discover-kitchen,"Discover interior section",3:4,"Luxury residential kitchen inspiration, island centerpiece, warm wood and stone finishes, clean daylight, vertical discover-card framing, premium editorial interior photography for a high-end mobile app, photorealistic, natural daylight, tasteful staging, clean composition, luxury residential design, no people, no text, no watermark, no collage, sharp focus"
discover-dining-room,"Discover interior section",3:4,"Elegant dining room inspiration, statement table, refined lighting fixture, soft natural light, vertical discover-card framing, premium editorial interior photography for a high-end mobile app, photorealistic, natural daylight, tasteful staging, clean composition, luxury residential design, no people, no text, no watermark, no collage, sharp focus"
discover-bedroom,"Discover interior section",3:4,"Calm contemporary bedroom inspiration, upholstered bed, layered bedding, soft morning light, vertical discover-card framing, premium editorial interior photography for a high-end mobile app, photorealistic, natural daylight, tasteful staging, clean composition, luxury residential design, no people, no text, no watermark, no collage, sharp focus"
discover-master-bedroom,"Discover interior section",3:4,"Spacious master bedroom with premium finishes, large headboard wall, sophisticated hotel-like styling, vertical discover-card framing, premium editorial interior photography for a high-end mobile app, photorealistic, natural daylight, tasteful staging, clean composition, luxury residential design, no people, no text, no watermark, no collage, sharp focus"
discover-guest-bedroom,"Discover interior section",3:4,"Warm welcoming guest bedroom, simple elegant furnishings, inviting but understated styling, vertical discover-card framing, premium editorial interior photography for a high-end mobile app, photorealistic, natural daylight, tasteful staging, clean composition, luxury residential design, no people, no text, no watermark, no collage, sharp focus"
discover-kids-room,"Discover interior section",3:4,"Stylish kids room, playful but premium, organized layout, soft colors, no characters or branded toys, vertical discover-card framing, premium editorial interior photography for a high-end mobile app, photorealistic, natural daylight, tasteful staging, clean composition, luxury residential design, no people, no text, no watermark, no collage, sharp focus"
discover-nursery,"Discover interior section",3:4,"Refined nursery inspiration, soft neutral palette, crib, gentle daylight, calm upscale styling, vertical discover-card framing, premium editorial interior photography for a high-end mobile app, photorealistic, natural daylight, tasteful staging, clean composition, luxury residential design, no people, no text, no watermark, no collage, sharp focus"
discover-bathroom,"Discover interior section",3:4,"Spa-like bathroom inspiration, stone vanity, glass shower, clean luxury materials, vertical discover-card framing, premium editorial interior photography for a high-end mobile app, photorealistic, natural daylight, tasteful staging, clean composition, luxury residential design, no people, no text, no watermark, no collage, sharp focus"
discover-powder-room,"Discover interior section",3:4,"Small dramatic powder room, statement wall finish, sculptural sink, editorial luxury feel, vertical discover-card framing, premium editorial interior photography for a high-end mobile app, photorealistic, natural daylight, tasteful staging, clean composition, luxury residential design, no people, no text, no watermark, no collage, sharp focus"
discover-home-office,"Discover interior section",3:4,"Premium home office inspiration, built-in desk and shelving, productive natural light, vertical discover-card framing, premium editorial interior photography for a high-end mobile app, photorealistic, natural daylight, tasteful staging, clean composition, luxury residential design, no people, no text, no watermark, no collage, sharp focus"
discover-study-room,"Discover interior section",3:4,"Quiet study room, reading chair, desk, shelving, intellectual residential atmosphere, vertical discover-card framing, premium editorial interior photography for a high-end mobile app, photorealistic, natural daylight, tasteful staging, clean composition, luxury residential design, no people, no text, no watermark, no collage, sharp focus"
discover-entryway,"Discover interior section",3:4,"Elegant home entryway, console table, mirror, architectural welcome moment, vertical discover-card framing, premium editorial interior photography for a high-end mobile app, photorealistic, natural daylight, tasteful staging, clean composition, luxury residential design, no people, no text, no watermark, no collage, sharp focus"
discover-hallway,"Discover interior section",3:4,"Long refined hallway, wall lighting, art, clean architectural rhythm, vertical discover-card framing, premium editorial interior photography for a high-end mobile app, photorealistic, natural daylight, tasteful staging, clean composition, luxury residential design, no people, no text, no watermark, no collage, sharp focus"
discover-staircase,"Discover interior section",3:4,"Architectural staircase interior, premium railing details, sculptural steps, natural light, vertical discover-card framing, premium editorial interior photography for a high-end mobile app, photorealistic, natural daylight, tasteful staging, clean composition, luxury residential design, no people, no text, no watermark, no collage, sharp focus"
discover-laundry-room,"Discover interior section",3:4,"High-end laundry room, cabinetry, utility sink, tidy organization, bright practical luxury, vertical discover-card framing, premium editorial interior photography for a high-end mobile app, photorealistic, natural daylight, tasteful staging, clean composition, luxury residential design, no people, no text, no watermark, no collage, sharp focus"
discover-pantry,"Discover interior section",3:4,"Walk-in pantry inspiration, organized shelving, jars and storage styling, premium residential utility space, vertical discover-card framing, premium editorial interior photography for a high-end mobile app, photorealistic, natural daylight, tasteful staging, clean composition, luxury residential design, no people, no text, no watermark, no collage, sharp focus"
discover-walk-in-closet,"Discover interior section",3:4,"Luxury walk-in closet, boutique-style shelving, integrated lighting, elegant wardrobe display, vertical discover-card framing, premium editorial interior photography for a high-end mobile app, photorealistic, natural daylight, tasteful staging, clean composition, luxury residential design, no people, no text, no watermark, no collage, sharp focus"
discover-home-gym,"Discover interior section",3:4,"Residential home gym, polished flooring, mirrored wall, premium wellness design, vertical discover-card framing, premium editorial interior photography for a high-end mobile app, photorealistic, natural daylight, tasteful staging, clean composition, luxury residential design, no people, no text, no watermark, no collage, sharp focus"
discover-media-room,"Discover interior section",3:4,"Moody luxury media room, sectional seating, acoustic wall treatment, cinematic residential setup, vertical discover-card framing, premium editorial interior photography for a high-end mobile app, photorealistic, tasteful staging, clean composition, luxury residential design, no people, no text, no watermark, no collage, sharp focus"
discover-sunroom,"Discover interior section",3:4,"Bright sunroom with indoor-outdoor feel, woven seating, abundant daylight, vertical discover-card framing, premium editorial interior photography for a high-end mobile app, photorealistic, natural daylight, tasteful staging, clean composition, luxury residential design, no people, no text, no watermark, no collage, sharp focus"
discover-balcony,"Discover interior section",3:4,"Apartment balcony makeover inspiration, compact seating, planting, urban view, vertical discover-card framing, premium editorial exterior photography for a high-end mobile app, photorealistic, natural daylight, tasteful staging, clean composition, luxury residential design, no people, no text, no watermark, no collage, sharp focus"
discover-terrace,"Discover interior section",3:4,"Residential terrace inspiration, premium outdoor seating, layered materials, open-air elegance, vertical discover-card framing, premium editorial exterior photography for a high-end mobile app, photorealistic, natural daylight, tasteful staging, clean composition, luxury residential design, no people, no text, no watermark, no collage, sharp focus"
discover-patio,"Discover interior section",3:4,"Modern patio inspiration, lounge zone, paving, subtle greenery, polished outdoor entertaining space, vertical discover-card framing, premium editorial exterior photography for a high-end mobile app, photorealistic, natural daylight, tasteful staging, clean composition, luxury residential design, no people, no text, no watermark, no collage, sharp focus"
discover-garage,"Discover interior section",3:4,"Clean premium garage conversion or organized garage interior, cabinetry and polished finishes, vertical discover-card framing, premium editorial interior photography for a high-end mobile app, photorealistic, natural daylight, tasteful staging, clean composition, luxury residential design, no people, no text, no watermark, no collage, sharp focus"
discover-basement,"Discover interior section",3:4,"Finished luxury basement, cozy lounge atmosphere, layered lighting, premium lower-level living space, vertical discover-card framing, premium editorial interior photography for a high-end mobile app, photorealistic, tasteful staging, clean composition, luxury residential design, no people, no text, no watermark, no collage, sharp focus"
discover-attic,"Discover interior section",3:4,"Attic room inspiration with sloped ceiling, warm textures, custom built-ins, charming premium styling, vertical discover-card framing, premium editorial interior photography for a high-end mobile app, photorealistic, natural daylight, tasteful staging, clean composition, luxury residential design, no people, no text, no watermark, no collage, sharp focus"
discover-garden,"Discover garden section",3:4,"Landscape garden inspiration, layered greenery, path, seating, premium residential planting design, vertical discover-card framing, premium editorial landscape photography for a high-end mobile app, photorealistic, natural daylight, tasteful staging, clean composition, luxury residential design, no people, no text, no watermark, no collage, sharp focus"
discover-apartment-exterior,"Discover exterior section",3:4,"Contemporary apartment exterior inspiration, clean facade, balconies, urban premium residential architecture, vertical discover-card framing, premium editorial exterior photography for a high-end mobile app, photorealistic, natural daylight, tasteful staging, clean composition, luxury residential design, no people, no text, no watermark, no collage, sharp focus"
discover-house-exterior,"Discover exterior section",3:4,"Modern house exterior inspiration, strong curb appeal, landscaped front approach, premium residential facade, vertical discover-card framing, premium editorial exterior photography for a high-end mobile app, photorealistic, natural daylight, tasteful staging, clean composition, luxury residential design, no people, no text, no watermark, no collage, sharp focus"
discover-villa-exterior,"Discover exterior section",3:4,"Luxury villa exterior inspiration, expansive facade, elegant materials, resort-like residential feel, vertical discover-card framing, premium editorial exterior photography for a high-end mobile app, photorealistic, natural daylight, tasteful staging, clean composition, luxury residential design, no people, no text, no watermark, no collage, sharp focus"
