asset_id,screen_usage,aspect_ratio,prompt
discover-house-exterior-01,Discover exterior section,3:4,"Mid-century modern house with flat roof lines, floor-to-ceiling windows, and warm cedar accents, manicured front lawn, vertical discover-card framing, premium editorial exterior photography for a high-end mobile app, photorealistic, natural daylight, tasteful staging, clean composition, luxury residential design, no people, no text, no watermark, no collage, sharp focus"
discover-house-exterior-02,Discover exterior section,3:4,"Scandinavian-style house with dark vertical wood siding, minimalist gabled roof, and a clean concrete pathway, vertical discover-card framing, premium editorial exterior photography for a high-end mobile app, photorealistic, natural daylight, tasteful staging, clean composition, luxury residential design, no people, no text, no watermark, no collage, sharp focus"
discover-house-exterior-03,Discover exterior section,3:4,"Contemporary craftsman house with stone pillar bases, tapered columns, and an inviting front porch with subtle lighting, vertical discover-card framing, premium editorial exterior photography for a high-end mobile app, photorealistic, natural daylight, tasteful staging, clean composition, luxury residential design, no people, no text, no watermark, no collage, sharp focus"
discover-house-exterior-04,Discover exterior section,3:4,"Minimalist concrete and glass house facade, geometric forms, architectural lighting, integrated clean garage door, vertical discover-card framing, premium editorial exterior photography for a high-end mobile app, photorealistic, natural daylight, tasteful staging, clean composition, luxury residential design, no people, no text, no watermark, no collage, sharp focus"
discover-house-exterior-05,Discover exterior section,3:4,"Modern farmhouse exterior with crisp white board-and-batten siding, black window frames, and a sleek metal roof, vertical discover-card framing, premium editorial exterior photography for a high-end mobile app, photorealistic, natural daylight, tasteful staging, clean composition, luxury residential design, no people, no text, no watermark, no collage, sharp focus"
discover-house-exterior-06,Discover exterior section,3:4,"Urban townhouse facade with clean red brick, large black steel-framed windows, and sleek steel planters near the entry, vertical discover-card framing, premium editorial exterior photography for a high-end mobile app, photorealistic, natural daylight, tasteful staging, clean composition, luxury residential design, no people, no text, no watermark, no collage, sharp focus"
discover-house-exterior-07,Discover exterior section,3:4,"Coastal contemporary home with light gray weatherboard siding, wide verandas, and native coastal grass landscaping, vertical discover-card framing, premium editorial exterior photography for a high-end mobile app, photorealistic, natural daylight, tasteful staging, clean composition, luxury residential design, no people, no text, no watermark, no collage, sharp focus"
discover-house-exterior-08,Discover exterior section,3:4,"Industrial modern house with corten steel panels, exposed architectural concrete elements, and clean glass panels, vertical discover-card framing, premium editorial exterior photography for a high-end mobile app, photorealistic, natural daylight, tasteful staging, clean composition, luxury residential design, no people, no text, no watermark, no collage, sharp focus"
discover-house-exterior-09,Discover exterior section,3:4,"A-frame modern cabin style house with towering glass prow, warm timber decking, surrounded by tall pine trees, vertical discover-card framing, premium editorial exterior photography for a high-end mobile app, photorealistic, natural daylight, tasteful staging, clean composition, luxury residential design, no people, no text, no watermark, no collage, sharp focus"
discover-house-exterior-10,Discover exterior section,3:4,"Transitional style home with light limestone exterior, elegant arched entryway, and neatly manicured boxwood hedges, vertical discover-card framing, premium editorial exterior photography for a high-end mobile app, photorealistic, natural daylight, tasteful staging, clean composition, luxury residential design, no people, no text, no watermark, no collage, sharp focus"
